MONTH,YEAR,TEMP_mean,TEMP_median,TEMP_var,TEMP_min,TEMP_max,PRCP_mean,PRCP_median,PRCP_min,PRCP_max,PRCP_var
3,1959,46.54153168329662,46.1,169.62670888297814,36.92263478486262,58.234410276372124,0.013777322404371585,0.0,0.0,4.49,0.013672048389745907
4,1959,56.160100840336135,56.5,136.52011898942663,46.21494956287828,67.8936154467169,0.010240219629375429,0.0,0.0,1.93,0.007034998182183572
5,1959,65.02618660069015,66.3,122.11322358049271,55.42347961974216,76.11389594321808,0.013525271287515886,0.0,0.0,3.98,0.012680883722856062
6,1959,72.36465598491989,73.5,89.12017130492674,62.3077166520773,83.32252743553491,0.011551560121765602,0.0,0.0,3.23,0.010431338032005901
7,1959,75.73839111803662,76.4,56.46892080591581,65.71775209401987,86.91337662337662,0.015516973057095613,0.0,0.0,4.45,0.018710046428813413
8,1959,75.4539240506329,77.1,62.25975040840968,65.96030519480519,86.48134657836644,0.013387848245697444,0.0,0.0,4.09,0.013852908992678391
9,1959,68.76617246193737,70.7,114.71272264286056,59.502527772234416,79.65005654979709,0.012724659185755357,0.0,0.0,3.86,0.013015113106392312
10,1959,58.50723000451875,58.5,153.2597734176565,50.020260847107444,69.08635012919896,0.017615038182886233,0.0,0.0,4.17,0.017799442115943837
11,1959,45.144158940397354,45.2,225.52560532608487,36.0345412388208,56.763489005513854,0.01129973474801061,0.0,0.0,3.43,0.010424800344789861
12,1959,41.37631730584544,40.9,154.83791969339438,33.891053474223504,50.76618824886269,0.012820926699582225,0.0,0.0,3.19,0.011114926433173987
1,1960,36.196035045085374,35.7,250.69057522210286,29.239285029097655,45.03720335188383,0.01309805673442037,0.0,0.0,4.76,0.010644729130591682
2,1960,37.46488919195363,37.1,215.89397650333618,29.92986428425288,46.89224890829695,0.01686997238564053,0.0,0.0,2.72,0.012816102327100596
3,1960,40.620622938340524,40.6,286.09122283085463,32.035078367916746,51.025571501143,0.01208535703213806,0.0,0.0,5.63,0.011365803792382341
4,1960,56.8549135607704,57.6,149.5749319755011,46.849904649174725,68.60852519405341,0.012324267381727639,0.0,0.0,2.76,0.009588783644348701
5,1960,62.8718284053576,62.95,108.17692982156774,52.62713428120063,74.19634100101112,0.013896542029800393,0.0,0.0,3.27,0.011156586858706755
6,1960,71.68634232121923,71.9,85.28684986548242,61.27428664495114,82.92315810044947,0.012848874598070738,0.0,0.0,4.06,0.0121525685776106
7,1960,75.33574002655371,75.8,66.66489543266233,64.92195291735223,86.60967435978502,0.016731938483547926,0.0,0.0,7.28,0.028343418792056783
8,1960,74.06810715188274,75.3,72.2016743849291,64.37404715251881,85.21806284377568,0.011812642110050023,0.0,0.0,2.8,0.009813623252933092
9,1960,69.14405165666581,69.1,90.71813107501768,59.28712457560721,80.56712775675324,0.013917112299465241,0.0,0.0,4.33,0.02288299696180034
10,1960,58.77316362715299,58.9,123.70042218638376,49.23916017480524,70.05090874548793,0.011109290088846717,0.0,0.0,3.46,0.010186657568103663
11,1960,48.4066523465469,48.2,147.17728551817368,39.803274313240465,59.056546650172535,0.008674743024963289,0.0,0.0,3.15,0.007205824992132203
12,1960,35.69251184834123,35.0,215.73365158329233,27.63742653099918,45.704841972187104,0.008104318564217611,0.0,0.0,3.5,0.006643279010982742
1,1961,34.58112193270933,35.5,255.18678988659332,26.035574247407034,45.46400177518544,0.007951743102989444,0.0,0.0,2.99,0.005844890502860915
2,1961,42.04762170845848,41.8,225.21225143330395,33.61637443241355,52.750356743144934,0.014221507046942626,0.0,0.0,2.13,0.011157759586230232
3,1961,47.90882667505505,47.5,176.26810441786054,39.40692888609188,58.505729756957564,0.01629625679854964,0.0,0.0,2.6,0.011890195072377707
4,1961,52.85548812320543,52.3,148.21515946282238,43.186349683234276,64.14161279791055,0.012719541139240507,0.0,0.0,3.98,0.010247058907988433
5,1961,61.90288715561706,61.4,109.37179703589116,51.852944877926,73.11333668847509,0.012713329615170106,0.0,0.0,2.72,0.010126717291859558
6,1961,71.36435875724614,71.7,77.70404228191477,60.875418594045215,82.69447413006647,0.013267137674240979,0.0,0.0,3.9,0.014253050563237609
7,1961,74.99856827499212,75.8,61.12261747822883,65.0304509618417,85.96750567751702,0.015365130950105143,0.0,0.0,2.76,0.013549216633187157
8,1961,74.22528576811958,74.9,51.54812008980332,64.60568538761152,85.23870744881296,0.013022314283024198,0.0,0.0,4.29,0.013815158541573919
9,1961,67.88551782571857,69.2,118.43013440626238,58.342025299947835,79.24588902653713,0.014475333156826406,0.0,0.0,4.72,0.018770322670398607
10,1961,58.095060400986654,58.9,116.80533866017244,47.85583264763593,70.33429150310245,0.00834869739478958,0.0,0.0,3.54,0.007609490393324713
11,1961,46.6705513457016,45.9,177.79535666993124,38.74999019928128,56.47349673202614,0.012298481308411215,0.0,0.0,2.8,0.009393187893711257
12,1961,37.75452586206897,37.849999999999994,256.5843776135328,30.35900475435816,46.71866480694858,0.012356463166898321,0.0,0.0,2.2,0.007265554272006158
1,1962,33.54837890996764,34.7,318.32202798738274,25.223678365171036,44.12965956092905,0.01168613830123145,0.0,0.0,4.02,0.009448798743622509
2,1962,39.823127722354926,40.45,336.0689472601571,31.77692686011382,50.03129926801802,0.01742838792549775,0.0,0.0,4.21,0.015260163967917345
3,1962,43.288457150101415,43.3,202.25261287144596,34.662446107025104,53.68754281364963,0.010439346811819596,0.0,0.0,4.61,0.008573812982639307
4,1962,55.38919876632325,55.6,144.0318599630482,44.93056412950679,67.38670125435083,0.009940592221293976,0.0,0.0,2.24,0.00670020070358538
5,1962,65.34404490106544,66.3,129.0965929356382,54.971403197158075,76.70102739726028,0.010883658969804618,0.0,0.0,3.15,0.00932755196671556
